Wavenumber;HDPE;PS;PA6;PET;PMMA;PP
1272.7882;93.8418;97.1369;81.6059;97.9238;95.1995;98.0417
1274.7167;93.7759;97.1059;82.0384;98.0733;95.3832;98.0365
1276.6451;93.7122;97.0756;82.3688;98.2339;95.6135;98.0242
1278.5736;93.6554;97.0472;82.6151;98.4044;95.8763;98.0055
1280.5021;93.6075;97.0214;82.8083;98.5816;96.1544;97.9809
1282.4305;93.567;96.9984;82.9745;98.7612;96.4313;97.9505
1284.359;93.5299;96.9772;83.1259;98.9393;96.6937;97.9132
1286.2875;93.4924;96.9566;83.2638;99.1136;96.933;97.8678
1288.2159;93.4526;96.9361;83.3864;99.2832;97.1462;97.8147
1290.1444;93.4113;96.9155;83.4928;99.4484;97.3341;97.7562
1292.0729;93.3705;96.8952;83.5845;99.6095;97.4999;97.6956
1294.0013;93.331;96.8751;83.6637;99.7658;97.6472;97.637
1295.9298;93.2909;96.8541;83.7343;99.9155;97.7791;97.5848
1297.8583;93.2465;96.8308;83.8034;100.056;97.8983;97.5453
1299.7867;93.1941;96.8037;83.8806;100.185;98.0075;97.5264
1301.7152;93.1329;96.7726;83.9737;100.3;98.1088;97.5359
1303.6437;93.066;96.7388;84.083;100.401;98.2035;97.5769
1305.5721;93.0005;96.7051;84.1976;100.489;98.291;97.6446
1307.5006;92.9447;96.675;84.2998;100.563;98.3696;97.7261
1309.4291;92.9062;96.6519;84.3745;100.624;98.4369;97.804
1311.3575;92.8889;96.638;84.4187;100.676;98.4917;97.8627
1313.286;92.8917;96.6335;84.4448;100.722;98.5343;97.8931
1315.2145;92.9075;96.6359;84.4736;100.766;98.5671;97.8944
1317.1429;92.9253;96.6405;84.5202;100.812;98.5932;97.8711
1319.0714;92.934;96.6418;84.5805;100.859;98.6153;97.8295
1320.9999;92.9274;96.6363;84.6288;100.907;98.6346;97.775
1322.9283;92.9082;96.6247;84.6308;100.951;98.6501;97.7129
1324.8568;92.8871;96.6117;84.5621;100.981;98.6601;97.6508
1326.7853;92.8783;96.6045;84.4234;100.984;98.6632;97.5986
1328.7137;92.893;96.609;84.2401;100.937;98.6592;97.5657
1330.6422;92.9346;96.6275;84.0496;100.816;98.6497;97.5562
1332.5707;92.9962;96.6569;83.8833;100.605;98.6374;97.5653
1334.4991;93.0628;96.6893;83.7535;100.308;98.6249;97.5803
1336.4276;93.1152;96.7153;83.6523;99.9705;98.6137;97.5854
1338.3561;93.1378;96.7267;83.56;99.6704;98.6036;97.5682
1340.2845;93.1255;96.7211;83.4608;99.4928;98.5929;97.5244
