Wavenumber;HDPE;PS
1762.6188;95.4249;98.15
1764.5472;95.4524;98.1682
1766.4757;95.4726;98.1769
1768.4042;95.4878;98.1778
1770.3326;95.4996;98.1744
1772.2611;95.5076;98.1712
1774.1896;95.5099;98.1709
1776.118;95.5047;98.1728
1778.0465;95.4919;98.1742
1779.975;95.4729;98.1727
1781.9034;95.4488;98.1666
1783.8319;95.4203;98.1548
1785.7604;95.3863;98.1365
1787.6888;95.3448;98.1104
1789.6173;95.2936;98.076
1791.5458;95.2323;98.0349
1793.4742;95.1646;97.991
1795.4027;95.0976;97.9502
1797.3312;95.0402;97.9179
1799.2596;94.9993;97.8968
1801.1881;94.9785;97.8874
1803.1166;94.9786;97.8895
1805.045;94.9985;97.9027
1806.9735;95.0366;97.9267
1808.902;95.0896;97.9605
1810.8304;95.153;98.0009
1812.7589;95.2206;98.0439
1814.6874;95.2861;98.085
1816.6158;95.3452;98.1218
1818.5443;95.3963;98.154
1820.4728;95.4417;98.1832
1822.4012;95.4857;98.2114
1824.3297;95.5325;98.2392
1826.2582;95.5827;98.266
1828.1866;95.6316;98.2901
1830.1151;95.6714;98.31
1832.0436;95.6961;98.3261
1833.972;95.7057;98.3394
1835.9005;95.7052;98.351
1837.829;95.7015;98.3606
1839.7574;95.6999;98.3664
1841.6859;95.7012;98.3664
1843.6144;95.7014;98.3588
1845.5428;95.6934;98.3442
1847.4713;95.6716;98.3245
1849.3998;95.6356;98.3018
1851.3282;95.5882;98.2773
1853.2567;95.5328;98.251
1855.1852;95.472;98.223
1857.1136;95.408;98.1936
1859.0421;95.344;98.1638
1860.9706;95.284;98.1341
1862.899;95.2329;98.1054
1864.8275;95.1944;98.0793
1866.756;95.1702;98.0592
1868.6844;95.1591;98.049
1870.6129;95.1579;98.0508
1872.5414;95.1634;98.0625
1874.4698;95.175;98.0788
1876.3983;95.1939;98.0948
1878.3268;95.2216;98.1083
1880.2552;95.2584;98.1209
1882.1837;95.3028;98.1367
1884.1122;95.352;98.1601
1886.0406;95.403;98.1927
1887.9691;95.4543;98.2319
1889.8976;95.5054;98.2722
1891.826;95.5566;98.308
1893.7545;95.6074;98.3363
1895.683;95.6565;98.358
1897.6115;95.7015;98.3756
1899.5399;95.7398;98.3908
1901.4684;95.7691;98.4032
1903.3969;95.7879;98.4115
1905.3253;95.797;98.4145
1907.2538;95.7991;98.4133
1909.1823;95.7978;98.4104
1911.1107;95.7954;98.4082
1913.0392;95.792;98.4076
1914.9677;95.7859;98.4076
1916.8961;95.7746;98.4069
1918.8246;95.7571;98.4043
1920.7531;95.7344;98.3997
1922.6815;95.7079;98.3935
1924.61;95.6784;98.3857
1926.5385;95.6445;98.3759
1928.4669;95.6034;98.3632
1930.3954;95.5522;98.347
1932.3239;95.4906;98.3271
1934.2523;95.4216;98.3033
1936.1808;95.352;98.276
1938.1093;95.2915;98.2474
1940.0377;95.25;98.2216
1941.9662;95.2353;98.2046
1943.8947;95.2493;98.202
1945.8231;95.2881;98.2162
1947.7516;95.3443;98.2457
1949.6801;95.4111;98.2867
1951.6085;95.4844;98.3348
1953.537;95.5619;98.3858
1955.4655;95.6396;98.4348
1957.3939;95.7103;98.4753
1959.3224;95.7658;98.5012
1961.2509;95.8021;98.5105
1963.1793;95.8245;98.5087
1965.1078;95.8471;98.5074
1967.0363;95.8846;98.5172
1968.9647;95.9406;98.539
1970.8932;96.0019;98.5607
1972.8217;96.0434;98.5632
1974.7501;96.0429;98.5328
1976.6786;95.9974;98.473
1978.6071;95.9274;98.405
1980.5355;95.8644;98.3543
1982.464;95.8317;98.3362
1984.3925;95.833;98.349
1986.3209;95.8564;98.3801
1988.2494;95.8856;98.4155
1990.1779;95.9102;98.447
1992.1063;95.9297;98.4749
1994.0348;95.9503;98.5045
1995.9633;95.9783;98.5409
1997.8917;96.0148;98.5853
1999.8202;96.0558;98.6347
2001.7487;96.0955;98.6837
2003.6771;96.1294;98.7266
